"(4, 1.2024412880474566)","(12, 0.69704178800012784)","(2, 0.62073823394491556)","(7, 0.57975656572954992)","(11, 0.56551446787750925)","(3, 0.54079968902787057)","(5, 0.53077475860732415)","(9, 0.51949798613059806)","(6, 0.50889300755194022)","(15, 0.48400123447869881)","(1, 0.46105875031996169)","(14, 0.41405950254541207)","(13, 0.4101059220810937)","(8, 0.3916953862198797)","(10, 0.36117956568081983)"
"(1, 1.5293791246711665)","(14, 0.98463944752702715)","(13, 0.96806771925738155)","(10, 0.86283038319207117)","(11, 0.78687592979725995)","(7, 0.75752016026957791)","(3, 0.61940246570751734)","(5, 0.60660204449985577)","(8, 0.54236568167002119)","(6, 0.46892041711345789)","(12, 0.41446711634983874)","(9, 0.40539662127879278)","(4, 0.39203254170891616)","(2, 0.37328400434437015)","(15, 0.29672741146166981)"
"(6, 1.4173295174828757)","(9, 1.1147174862182863)","(12, 1.0069147453893523)","(15, 0.84311244926661633)","(3, 0.74167256762240963)","(7, 0.72930581144529893)","(5, 0.72883857927996099)","(11, 0.68738389589515103)","(2, 0.56054598585441906)","(8, 0.50012698105893094)","(1, 0.49657986781616914)","(13, 0.47932207010735089)","(10, 0.47247090607797837)","(4, 0.4680343804396121)","(14, 0.44648029940644102)"
"(14, 2.4688580322719744)","(13, 0.40671670497073892)","(8, 0.33137289428932487)","(10, 0.13832663992241309)","(11, 0.070452331096784115)","(7, 0.067725467323111063)","(1, 0.066002804898059847)","(4, 0.06168564248271096)","(5, 0.059661538976328199)","(3, 0.058068855401618574)","(12, 0.055376085329724038)","(6, 0.053610277297970618)","(9, 0.048934110190338255)","(15, 0.042288349750284858)","(2, 0.041068817856990965)"
"(1, 2.4686229751136843)","(14, 0.61136093042807416)","(13, 0.60853422118622114)","(8, 0.47591225036262058)","(10, 0.27848515126316625)","(11, 0.21935081328760292)","(7, 0.20426533327324373)","(5, 0.16657456018196928)","(4, 0.1629663921336304)","(3, 0.15920921500052185)","(12, 0.15346506811060609)","(6, 0.14593424112367204)","(9, 0.12930425890634331)","(15, 0.11132208467000923)","(2, 0.10072070079770513)"
"(10, 4.9079761682133762)","(4, 4.3916780137450608)","(13, 3.2647210079711999)","(14, 3.2356420498375358)","(8, 3.1627339056546422)","(12, 3.0757424787863195)","(5, 2.2560667909488292)","(3, 2.0960430351340609)","(15, 2.0036123156221506)","(11, 1.9567566738352933)","(2, 1.8980282381542344)","(1, 1.8254159459080386)","(9, 1.7100775205124001)","(6, 1.7000097886813619)","(7, 1.6513856097617989)"
"(2, 3.5564001727061347)","(15, 0.98877013775727751)","(10, 0.93724631289191873)","(9, 0.90694242182554918)","(4, 0.81869263557339711)","(12, 0.81022195973513533)","(5, 0.72372569048216018)","(6, 0.72370677517116344)","(3, 0.65734525833594049)","(13, 0.63221768551932411)","(14, 0.63098980148945027)","(11, 0.59822783836889315)","(7, 0.59802118779065971)","(8, 0.56896053534648094)","(1, 0.40028355565698143)"
"(10, 1.6833938439925182)","(4, 1.5739400761108435)","(12, 1.314163161562051)","(13, 1.0308336365918827)","(8, 1.0289125289506142)","(14, 1.0162010590070623)","(11, 0.63624489749861068)","(5, 0.48028396284165914)","(2, 0.44651506560258197)","(3, 0.4225914923987894)","(1, 0.35973657410933685)","(7, 0.33031344239357063)","(15, 0.20010691626960977)","(6, 0.1606226532725131)","(9, 0.1477052496170482)"
"(10, 0.54192469712809832)","(15, 0.37471365537174828)","(13, 0.31999492651128458)","(14, 0.3163131879958182)","(8, 0.31135385277658184)","(4, 0.31070813603099295)","(9, 0.308887061066355)","(12, 0.24415241990037514)","(5, 0.14123208904741433)","(3, 0.11054593813418613)","(1, 0.10240875407416523)","(6, 0.10060997171145687)","(11, 0.077502152389151813)","(7, 0.072800335157739343)","(2, 0.071350931677018864)"
"(14, 3.7853885573168724)","(13, 2.1404204500362325)","(10, 0.85451505241405579)","(8, 0.5704400935507824)","(1, 0.36543072861942727)","(4, 0.29922008170913844)","(12, 0.27184769961277278)","(15, 0.25884002941600637)","(9, 0.24181475440232386)","(6, 0.23990840192440155)","(5, 0.22039700859638886)","(11, 0.2051737326887606)","(3, 0.20446005415626495)","(7, 0.20267596979216182)","(2, 0.18675558648834339)"
"(10, 1.7001502530962351)","(11, 1.3845763772679505)","(13, 1.1733089232833949)","(14, 1.1706779311336504)","(8, 1.0673051207616713)","(5, 0.95121428536695962)","(3, 0.90530929005933025)","(6, 0.79494238214023472)","(12, 0.76806423580358318)","(4, 0.76396058270137479)","(7, 0.75763890770236453)","(9, 0.70577658205118055)","(15, 0.65672551058614004)","(1, 0.6525246062889567)","(2, 0.60170634168095904)"
